epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6808,2.28538,5.55429,2.92841,0.18824,0.40972,0.25459,0.09552,2.31506,3.15962,2.83921,0.000174386,0.000174386,0.000174386
2,34.0495,2.24486,4.22928,2.71711,0.22726,0.3902,0.25098,0.05702,2.45758,2.86117,2.88736,0.000315097,0.000315097,0.000315097
3,46.6522,2.17376,3.49721,2.62136,0.18584,0.30625,0.0999,0.01841,3.23486,2.49981,3.32894,0.000421092,0.000421092,0.000421092
4,59.2125,2.17788,3.04964,2.59143,0.10408,0.85306,0.27065,0.08891,2.06517,2.18071,2.54394,0.000369778,0.000369778,0.000369778
5,71.6836,2.13918,2.7899,2.53992,0.07723,0.84444,0.28725,0.08417,2.46209,2.20671,2.8037,0.000317704,0.000317704,0.000317704
6,84.3073,2.12753,2.63133,2.53404,0.43024,0.31833,0.33285,0.11488,2.22748,2.18982,2.82718,0.00026563,0.00026563,0.00026563
7,97.0215,2.10985,2.54525,2.52455,0.22399,0.47206,0.28568,0.14142,1.91401,2.04123,2.44222,0.000213556,0.000213556,0.000213556
8,109.807,2.06428,2.49104,2.4729,0.27856,0.31806,0.28954,0.13885,2.13851,2.12597,2.60603,0.000161482,0.000161482,0.000161482
9,123.077,2.04603,2.41818,2.4508,0.2862,0.28428,0.31673,0.14767,1.97926,2.06166,2.50865,0.000109408,0.000109408,0.000109408
10,135.69,2.01234,2.4378,2.43414,0.32733,0.27083,0.27192,0.12898,2.00104,2.12493,2.52495,5.7334e-05,5.7334e-05,5.7334e-05
