epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.4161,2.115,4.73178,2.44641,0.42671,0.1,0.04712,0.01592,1.78212,3.27547,2.433,0.000174386,0.000174386,0.000174386
2,34.812,1.94306,4.381,2.26812,0.84223,0.10383,0.175,0.05858,2.42599,3.0697,2.88246,0.000342794,0.000342794,0.000342794
3,47.6975,1.95417,4.01963,2.27182,0.64218,0.1424,0.20148,0.06306,2.57765,2.87355,2.93415,0.00050426,0.00050426,0.00050426
4,60.6804,1.98846,3.65268,2.26351,0.4402,0.295,0.13548,0.03132,2.91395,3.03666,3.17292,0.000494756,0.000494756,0.000494756
5,73.2205,1.99624,3.41538,2.2162,0.41503,0.425,0.3112,0.08684,2.61042,2.38742,2.93159,0.000484341,0.000484341,0.000484341
6,86.1062,1.99042,3.22062,2.22228,0.34075,0.285,0.26987,0.0799,2.42033,2.32812,2.885,0.000473926,0.000473926,0.000473926
7,98.7353,1.96517,3.08945,2.19495,0.55647,0.44,0.40699,0.14494,2.45237,2.22275,2.83799,0.000463511,0.000463511,0.000463511
8,111.666,1.957,2.99825,2.19453,0.36214,0.28718,0.29429,0.10437,2.39689,2.5196,2.88924,0.000453096,0.000453096,0.000453096
9,124.259,1.96176,2.92317,2.18052,0.41019,0.44269,0.4127,0.14499,2.35599,2.07611,2.73397,0.000442682,0.000442682,0.000442682
10,137.082,1.9248,2.87959,2.15609,0.39093,0.44582,0.38303,0.14404,2.22743,2.29139,2.67581,0.000432267,0.000432267,0.000432267
11,149.776,1.93566,2.83851,2.17808,0.32653,0.60137,0.5296,0.19832,2.34654,2.07961,2.72098,0.000421852,0.000421852,0.000421852
12,162.887,1.90566,2.76719,2.14295,0.26127,0.69557,0.42976,0.16717,2.33166,2.11985,2.72628,0.000411437,0.000411437,0.000411437
13,175.496,1.89721,2.76734,2.14382,0.39554,0.53905,0.50123,0.22201,2.19791,2.16774,2.67498,0.000401022,0.000401022,0.000401022
14,188.391,1.87788,2.75762,2.14065,0.35926,0.56952,0.49007,0.16217,2.32039,2.23343,2.80069,0.000390608,0.000390608,0.000390608
15,201.008,1.87225,2.74102,2.13816,0.31153,0.56458,0.48559,0.18278,2.25725,2.1024,2.72773,0.000380193,0.000380193,0.000380193
16,213.609,1.86464,2.71291,2.12424,0.32273,0.46373,0.41757,0.18215,2.23014,2.11253,2.66369,0.000369778,0.000369778,0.000369778
17,226.193,1.87338,2.69673,2.12508,0.32654,0.59167,0.42922,0.17786,2.32003,2.22585,2.74191,0.000359363,0.000359363,0.000359363
18,238.748,1.85127,2.66966,2.1105,0.28604,0.55215,0.46029,0.17115,2.19241,2.30391,2.64945,0.000348948,0.000348948,0.000348948
19,251.359,1.82949,2.63772,2.10013,0.48218,0.45015,0.49125,0.20599,2.18281,2.08248,2.68059,0.000338534,0.000338534,0.000338534
20,263.914,1.84252,2.64831,2.1075,0.46452,0.47097,0.48483,0.2454,2.11855,2.19095,2.63512,0.000328119,0.000328119,0.000328119
21,276.716,1.81003,2.64188,2.10509,0.34786,0.43321,0.39982,0.14026,2.11905,2.26413,2.60701,0.000317704,0.000317704,0.000317704
22,289.359,1.82365,2.61387,2.08406,0.32896,0.45077,0.39256,0.14629,2.26663,2.33654,2.69982,0.000307289,0.000307289,0.000307289
23,302.006,1.80934,2.63363,2.10308,0.36284,0.46388,0.45,0.17304,2.34756,2.13975,2.73201,0.000296874,0.000296874,0.000296874
24,314.61,1.81016,2.61564,2.10079,0.32337,0.41711,0.41518,0.1803,2.26293,2.26533,2.66696,0.00028646,0.00028646,0.00028646
25,327.22,1.79497,2.60159,2.0832,0.50597,0.37625,0.43902,0.21441,2.08701,2.23002,2.57166,0.000276045,0.000276045,0.000276045
26,339.798,1.7986,2.58624,2.08657,0.39988,0.47173,0.47486,0.19738,2.21029,2.20057,2.6427,0.00026563,0.00026563,0.00026563
27,352.407,1.77229,2.60351,2.08028,0.34444,0.41823,0.43671,0.19095,2.22315,2.24528,2.68328,0.000255215,0.000255215,0.000255215
28,364.984,1.7562,2.58719,2.06866,0.40793,0.48307,0.48607,0.26184,2.02494,2.19834,2.55196,0.0002448,0.0002448,0.0002448
29,377.768,1.76335,2.58382,2.05733,0.49683,0.35008,0.45383,0.21335,2.12416,2.30017,2.72041,0.000234386,0.000234386,0.000234386
30,390.351,1.76647,2.56376,2.06743,0.42972,0.39249,0.44933,0.22283,2.02454,2.37154,2.56005,0.000223971,0.000223971,0.000223971
31,402.894,1.75706,2.57458,2.06307,0.40132,0.43337,0.44577,0.20601,2.12878,2.19413,2.60759,0.000213556,0.000213556,0.000213556
